ticker,inn_dato,ut_dato,kjopskurs,sistekurs,avkastning_pct,uke_avkastning_pct
STB.OL,2026-07-20,,194.9,204.8,5.08,1.49
DNB.OL,2026-07-20,,294.6,314.5,6.75,0.58
AKER.OL,2026-07-20,,1244.0,1566.0,25.88,5.24
LSG.OL,2026-07-20,,40.72,45.5,11.74,5.08
NOD.OL,2026-07-20,,157.7,169.8,7.67,4.11
PROT.OL,2026-07-20,,486.6,486.4,-0.04,1.71
WWI.OL,2026-07-20,,731.0,810.0,10.81,0.87
SATS.OL,2026-07-20,,39.49,45.05,14.09,-2.55
VEND.OL,2026-07-20,,240.8,262.2,8.89,4.13
KID.OL,2026-07-20,,131.6,127.2,-3.34,-1.85
